"File name","12000002.CSV","V 1.27"
"Title comment","4-8"
"Trigger Time","'25-12-10 14:12:19"
"Ch","A 1- 1","A 1- 2",
"Mode","Voltage","Voltage",
"Range","2V","2V",
"Comment","EL1-Br+","EL2-ORP",
"Scaling","Off","Off",
"Ratio"," 1.00000E+00"," 1.00000E+00",
"Offset"," 0.00000E+00"," 0.00000E+00",
"Time","1-1[V]","1-2[V]","Event",
 0.000000000E+00,-3.73600E-01,-1.76900E-01,0,
 1.000000000E-01,-3.73800E-01,-1.76800E-01,0,
 2.000000000E-01,-3.73600E-01,-1.76800E-01,0,
 3.000000000E-01,-3.73700E-01,-1.76800E-01,0,
 4.000000000E-01,-3.73700E-01,-1.76800E-01,0,
 5.000000000E-01,-3.73800E-01,-1.76800E-01,0,
 6.000000000E-01,-3.73800E-01,-1.76800E-01,0,
 7.000000000E-01,-3.73800E-01,-1.76800E-01,0,
 8.000000000E-01,-3.73800E-01,-1.76800E-01,0,
 9.000000000E-01,-3.73800E-01,-1.76800E-01,0,
 1.000000000E+00,-3.74100E-01,-1.76900E-01,0,
 1.100000000E+00,-3.74200E-01,-1.76800E-01,0,
 1.200000000E+00,-3.74200E-01,-1.76800E-01,0,
 1.300000000E+00,-3.74200E-01,-1.76800E-01,0,
 1.400000000E+00,-3.74000E-01,-1.75800E-01,0,
 1.500000000E+00,-3.74000E-01,-1.75800E-01,0,
 1.600000000E+00,-3.74000E-01,-1.75800E-01,0,
 1.700000000E+00,-3.74000E-01,-1.75800E-01,0,
 1.800000000E+00,-3.74000E-01,-1.75800E-01,0,
 1.900000000E+00,-3.74000E-01,-1.75800E-01,0,
 2.000000000E+00,-3.74000E-01,-1.75800E-01,0,
 2.100000000E+00,-3.74000E-01,-1.75800E-01,0,
 2.200000000E+00,-3.75500E-01,-1.75800E-01,0,
 2.300000000E+00,-3.75500E-01,-1.75800E-01,0,
 2.400000000E+00,-3.75400E-01,-1.75800E-01,0,
